episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
203,24,24.0,0.20479078634987488,25.35,40.3,,,25.35,40.3,1,0
204,10,10.0,0.20420763372715978,25.23,40.3,,,25.35,40.3,0,0
205,21,21.0,0.20299116097078315,25.35,40.3,,,25.35,40.3,0,0
206,59,59.0,0.19963176879926187,25.81,40.3,,,25.81,40.3,1,0
207,18,18.0,0.1986237545814522,25.82,40.3,,,25.82,40.3,1,0
208,8,8.0,0.19817825144274223,25.75,40.3,,,25.82,40.3,0,0
209,10,10.0,0.19762352755906434,25.73,40.3,,,25.82,40.3,0,0
210,12,12.0,0.19696100603685535,25.7,40.3,,,25.82,40.3,0,0
211,35,35.0,0.19504810187403296,25.92,40.3,,,25.92,40.3,1,0
212,9,9.0,0.19456085697725006,25.88,40.3,,,25.92,40.3,0,0
213,8,8.0,0.19412933368744759,25.8,40.3,,,25.92,40.3,0,0
214,11,11.0,0.19353841253673626,25.8,40.3,,,25.92,40.3,0,0
215,12,12.0,0.1928969573107676,25.79,40.3,,,25.92,40.3,0,0
216,27,27.0,0.1914657515237167,25.93,40.3,,,25.93,40.3,1,0
217,10,10.0,0.1909398861506048,25.83,40.3,,,25.93,40.3,0,0
218,15,15.0,0.19015532407189228,25.87,40.3,,,25.93,40.3,0,0
219,11,11.0,0.18958319252966654,25.83,40.3,,,25.93,40.3,0,0
220,9,9.0,0.1891170975458445,25.77,40.3,,,25.93,40.3,0,0
221,13,13.0,0.1884470319809976,25.76,40.3,,,25.93,40.3,0,0
222,18,18.0,0.1875254230239538,25.76,40.3,,,25.93,40.3,0,0
223,9,9.0,0.18706729187689408,25.67,40.3,,,25.93,40.3,0,0
224,15,15.0,0.18630767663630693,25.67,40.3,,,25.93,40.3,0,0
225,10,10.0,0.18580398695934908,25.59,40.3,,,25.93,40.3,0,0
